etikett,antal,genomsnitt_sakerhet
Animal,48,98.4
Mammal,39,98.0
Rat,13,95.1
Rodent,13,96.7
Wildlife,11,98.5
Poultry,10,99.2
Dog,10,96.2
Squirrel,10,92.1
Fowl,10,99.2
Elephant,10,99.7
Horse,10,96.3
Pet,10,96.5
Chicken,10,99.0
Canine,10,97.1
Bird,10,99.3
Colt Horse,9,92.3
Hen,8,97.6
Outdoors,7,95.1
Nature,6,98.7
Grassland,6,98.7
Stallion,6,97.8
Field,6,98.7
Puppy,4,94.3
Andalusian Horse,4,98.9
Savanna,3,99.9
Bear,2,81.0
Plant,2,98.3
Person,2,88.2
Rooster,2,95.2
Kangaroo,2,95.2
Landscape,2,99.7
Grass,2,87.2
Scenery,2,99.3
Sea,1,85.6
Terrier,1,79.4
Tree,1,99.7
Saddle,1,73.7
Tree Trunk,1,97.9
Snout,1,96.8
Adult,1,94.6
Poodle,1,96.4
Pasture,1,93.5
Panoramic,1,93.6
Hound,1,95.1
Harness,1,87.7
Halter,1,99.1
Great Dane,1,75.2
Grazing,1,78.5
Golden Retriever,1,100.0
German Shepherd,1,98.5
Female,1,94.6
Eskimo Dog,1,99.9
Cocker Spaniel,1,99.3
Antelope,1,95.8
Woman,1,94.6
